,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
2662,【한글자막】 기초부터 배우는 Python 인공 신경망 : 완벽가이드,https://www.udemy.com/course/best-python-neural-networks/,167,19,5.0,12/2021,Korean,1.0,1.0,69.9,1.0,4.0,73.0,8h 42m,Jones Granatyr,"166,599",91.0,4.7,Ligency I Team,"2,318,877",148.0,4.6,1.0,0.0,0.0,4.1
2663,数式なしでわかる人工知能（AI）入門講座,https://www.udemy.com/course/ai-finger-character/,130,18,1.0,11/2017,Japanese,1.0,0.0,69.9,1.0,7.0,7.0,1h 30m,則春 石,130,1.0,3.2,,,,,0.0,0.0,0.0,3.2
2664,Ciencia de datos con Python Aplicado a Proyectos Reales,https://www.udemy.com/course/ciencia-de-datos-con-python-aplicado-a-proyectos-reales/,216,18,2.0,1/2022,Spanish,1.0,1.0,69.9,1.0,10.0,79.0,10h 31m,Kevin Meneses González,"26,167",20.0,3.8,Giovanni Bonaventura,"24,185",15.0,3.8,1.0,0.0,0.0,3.7
2665,Apache Spark mit Databricks - Crashkurs,https://www.udemy.com/course/apache-spark-mit-databricks-crashkurs/,"2,898",18,1.0,3/2021,German,1.0,1.0,139.9,1.0,5.0,23.0,3h 22m,Jan Schwarzlose,"14,502",7.0,4.2,,,,,0.0,0.0,0.0,4.1
2666,chatGPT. Da zero ad esperto. Il corso completo con esempi.,https://www.udemy.com/course/chatgpt-da-zero-ad-esperto-il-corso-completo-con-esempi/,85,18,1.0,1/2023,Italian,1.0,1.0,69.9,1.0,7.0,33.0,6h 20m,Mirco Baragiani,"1,231",10.0,4.5,,,,,0.0,0.0,0.0,4.8
2667,Probabilidad y Estadística,https://www.udemy.com/course/probabilidad-y-estadistica/,123,18,1.0,7/2020,Spanish,1.0,0.0,69.9,1.0,10.0,94.0,3h 9m,Aprende con Tabella,123,1.0,3.9,,,,,1.0,0.0,0.0,3.9
2668,はじめてのベイズ統計【PyMC3+Colab】-確率･統計の基礎からベイズ推定のPython実装まで-,https://www.udemy.com/course/bayesian/,357,19,1.0,1/2023,Japanese,1.0,1.0,69.9,1.0,6.0,35.0,4h 47m,我妻 幸長 Yukinaga Azuma,"111,412",30.0,4.3,,,,,0.0,0.0,0.0,4.4
2669,Data Science Kurs mit Excel,https://www.udemy.com/course/data-science-mit-excel/,167,18,1.0,7/2019,German,1.0,1.0,69.9,1.0,9.0,46.0,3h 33m,Michael Meraner,499,3.0,3.9,,,,,0.0,0.0,0.0,3.7
2670,【デジタル社会の「読み・書き・そろばん」】AI・データサイエンス基礎講座～リテラシーレベル～　①導入編,https://www.udemy.com/course/ai-1-introduction/,201,18,1.0,3/2021,Japanese,1.0,1.0,69.9,1.0,8.0,51.0,6h 1m,三谷 慶一郎,346,5.0,4.1,,,,,0.0,0.0,0.0,4.0
2671,사무직 직장인 맞춤 | 실전예제로 배우는 파이썬 10시간 완성 | 판다스+크롤링+머신러닝,https://www.udemy.com/course/6-pthfaw/,125,18,1.0,10/2022,Korean,1.0,0.0,69.9,1.0,33.0,120.0,9h 56m,사무직 직장인,315,6.0,4.5,,,,,1.0,0.0,0.0,4.6
2672,深度学习-入门课程(通俗易懂版),https://www.udemy.com/course/dl-tangyudi/,177,18,1.0,2/2019,Simplified Chinese,2.0,0.0,69.9,1.0,12.0,73.0,15h 8m,唐宇迪 唐,"4,103",25.0,4.4,,,,,0.0,0.0,0.0,3.7
2673,Машинное обучение: выделение факторов на Python,https://www.udemy.com/course/ittensive-machine-learning-features/,142,17,1.0,6/2021,Russian,1.0,0.0,229.9,1.0,10.0,51.0,7h 6m,Центр digital-профессий ITtensive,"2,298",22.0,4.0,,,,,1.0,0.0,0.0,4.4
2674,データ分析シリーズ③ -Pythonライブラリの実践活用-,https://www.udemy.com/course/python-data3/,121,17,1.0,11/2021,Japanese,1.0,1.0,69.9,1.0,7.0,32.0,3h 55m,Trainocate Lecturers,"31,436",15.0,4.1,,,,,0.0,0.0,0.0,4.1
2675,ＡＩ機械翻訳（付録：日本語対応ソースコード付）：RNNでディープラーニング：自然言語処理入門編,https://www.udemy.com/course/rnn-seq2seq/,183,17,1.0,1/2022,Japanese,1.0,1.0,69.9,1.0,9.0,51.0,2h 37m,内山 充康,"3,081",9.0,4.0,,,,,0.0,0.0,0.0,3.6
2676,200+ Pytań - Rozmowa kwalifikacyjna - Data Scientist,https://www.udemy.com/course/pytania-rozmowa-kwalifikacyjna-interview-data-scientist/,254,17,1.0,2/2023,Polish,1.0,0.0,69.9,1.0,205.0,,,Paweł Krakowiak,"260,005",87.0,4.5,,,,,0.0,0.0,1.0,4.8
2677,Mathematics for Machine Learning & Data Science | Arabic,https://www.udemy.com/course/mathematics-for-machine-learning-arabic/,"2,850",17,1.0,8/2022,Arabic,1.0,0.0,69.9,1.0,3.0,8.0,5h 51m,Mohammed Agoor,"9,555",4.0,4.5,,,,,0.0,0.0,0.0,4.7
2678,Машинное обучение: нейросети и глубокое обучение на Python,https://www.udemy.com/course/ittensive-python-machine-learning-neural/,205,17,1.0,6/2021,Russian,1.0,0.0,229.9,1.0,10.0,66.0,11h 22m,Центр digital-профессий ITtensive,"2,298",22.0,4.0,,,,,1.0,0.0,0.0,3.8
