,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
1545,Data Analytics with R from Scratch,https://www.udemy.com/course/data-analytics-with-r-from-scratch/,13,4,1,21-Dec,English,1,1,69.9,1,6.0,42.0,5.033333333333333,Raman Jha,58.0,2,3.8,0,0.0,0.0,0,0,0,0,4.1
1546,Mathematics for AI & ML Developers : The Complete Course,https://www.udemy.com/course/mathematics-for-ai-ml-developers-the-complete-course/,148,4,1,22-Apr,English,1,1,69.9,1,7.0,43.0,5.666666666666667,Eduonix Learning Solutions,1251591.0,237,3.9,0,0.0,0.0,0,1,0,0,3.8
1547,Tableau 2021 A-Z : Master Tableau for Data Science and BI,https://www.udemy.com/course/tableau-2021-a-z-master-tableau-for-data-science-and-bi/,39,4,1,21-May,English,1,1,209.9,1,10.0,12.0,9.35,Venkanna Rupani,39.0,1,4.2,0,0.0,0.0,0,1,0,0,4.2
1548,Master Facial Recognition (A~Z) in C# using Azure Face API,https://www.udemy.com/course/master-facial-recognition-az-in-c-using-azure-face-api/,237,4,1,20-Sep,English,1,0,69.9,1,5.0,14.0,1.5333333333333332,"Maen Alaraj, PhD",244.0,2,2.7,0,0.0,0.0,0,0,0,0,2.1
1549,Build Machine Learning Web Application with Streamlit,https://www.udemy.com/course/build-machine-learning-web-application-with-streamlit/,10,4,1,22-Jul,English,1,1,69.9,1,3.0,12.0,1.65,"Kiran Kumar Shah | FCCA,M.A in Eco,DipIFRS,CAMS,CAMS-AUDIT,CFE,CISA,CISSP",444.0,6,4.4,0,0.0,0.0,0,0,0,0,3.9
1550,Automated Content Production,https://www.udemy.com/course/automated-content-production/,14,3,1,21-Mar,English,1,1,69.9,1,3.0,23.0,1.6166666666666667,Blaise Aboh,26.0,3,3.7,0,0.0,0.0,0,1,0,0,4.3
1551,Data Science – End 2 End Beginners Course Part 1,https://www.udemy.com/course/datascience-e2e-beginnerscourse-machinelearning-dataanalytics/,50,3,1,21-Apr,English,1,1,69.9,1,14.0,80.0,22.733333333333334,Nitin Singhal,50.0,1,4.6,0,0.0,0.0,0,0,0,0,4.6
1552,Machine Learning with R,https://www.udemy.com/course/machine-learning-with-r-d/,521,3,1,18-Dec,English,1,0,69.9,1,1.0,30.0,1.8,Goh Ming Hui,14015.0,28,3.1,0,0.0,0.0,0,0,0,0,2.8
1553,The Complete Convolutional Neural Network with Python 2022,https://www.udemy.com/course/la-hoang-quy-complete-convolutional-neural-network-with-python-2022/,41,3,1,22-Jun,English,1,1,69.9,1,6.0,31.0,5.95,Hoang Quy La,5142.0,15,4.0,0,0.0,0.0,0,0,0,0,4.0
1554,Probability and Statistics for Machine Learning,https://www.udemy.com/course/probability-and-statistics-for-machine-learning/,140,3,2,22-Aug,English,1,1,69.9,1,8.0,48.0,6.966666666666667,Mammoth Interactive,381800.0,263,4.3,1,520513.0,292.0,4.3,0,0,0,4.7
1555,The Complete Exploratory Analysis Course With Pandas [2022],https://www.udemy.com/course/the-complete-exploratory-analysis-course-with-pandas-2021/,88,3,1,21-Jul,English,1,1,69.9,1,6.0,31.0,5.783333333333333,Hoang Quy La,5142.0,15,4.0,0,0.0,0.0,0,0,0,0,4.8
1556,Statistics for AI & ML Developers,https://www.udemy.com/course/statistics-for-ai-ml-developers/,110,3,1,22-Apr,English,1,1,69.9,1,6.0,38.0,5.366666666666666,Eduonix Learning Solutions,1251591.0,237,3.9,0,0.0,0.0,0,1,0,0,4.5
1557,Natural Language Processing in Practice,https://www.udemy.com/course/natural-language-processing-in-practice/,17,3,1,19-Feb,English,1,1,69.9,1,5.0,28.0,1.7833333333333332,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,3.5
1558,Hands-On Artificial Intelligence for Small Businesses,https://www.udemy.com/course/hands-on-artificial-intelligence-for-small-businesses/,68,3,1,19-Aug,English,1,1,69.9,1,5.0,27.0,4.516666666666667,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,5.0
1559,AWS SageMaker MasterClass,https://www.udemy.com/course/aws-sagemaker-masterclass/,5001,3,1,22-Dec,English,1,1,69.9,1,4.0,18.0,2.5666666666666664,Raj Chhabria,29936.0,8,4.5,0,0.0,0.0,0,0,0,0,4.1
1560,Big Data and Machine Learning Fundamentals,https://www.udemy.com/course/big-data-ml-ecosystem/,6,3,1,22-Nov,English,1,1,69.9,1,8.0,55.0,2.4833333333333334,IT Mindfulness Academy,18960.0,7,3.5,0,0.0,0.0,0,0,0,1,3.7
1561,ChatGPT & OpenAI,https://www.udemy.com/course/chatgptandopenai/,1026,4,1,23-Jan,English,1,1,69.9,1,10.0,23.0,2.45,SeaportAi .,103597.0,29,4.1,0,0.0,0.0,0,1,0,0,3.2
1562,Forecasting the Sales using Time Series Analysis in Python,https://www.udemy.com/course/forecasting-the-sales-using-time-series-analysis-in-python-examturf/,419,3,1,21-Jun,English,1,1,123.9,1,4.0,17.0,1.8833333333333333,Exam Turf,137487.0,30,3.9,0,0.0,0.0,0,0,0,0,3.6
1563,Building Advanced OpenCV3 Projects with Python,https://www.udemy.com/course/building-advanced-opencv3-projects-with-python/,38,3,1,18-Feb,English,1,1,69.9,1,3.0,9.0,0.9,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,2.6
1564,Comprehensive course on Machine Learning With Azure,https://www.udemy.com/course/azureandml/,163,3,1,18-Dec,English,1,1,69.9,1,14.0,69.0,9.466666666666667,"Dr Aashish Dikshit, PHD(Founder of Lakshmish academy)",4586.0,16,2.8,0,0.0,0.0,0,0,0,0,2.4
1565,Alteryx: Data Science with Alteryx,https://www.udemy.com/course/data-science-alteryx/,868,3,1,20-Nov,English,1,1,69.9,1,3.0,7.0,0.9833333333333333,Prashanth Chidambaram,6913.0,5,3.9,0,0.0,0.0,0,1,0,0,2.5
1566,Applied Computer Vision For Beginners,https://www.udemy.com/course/applied-computer-vision-for-beginners/,48,3,1,22-Apr,English,1,1,69.9,1,7.0,55.0,6.783333333333333,Eduonix Learning Solutions,1251591.0,237,3.9,0,0.0,0.0,0,1,0,0,4.7
1567,Beginners Guide to Deep Learning,https://www.udemy.com/course/beginners-guide-to-deep-learning/,11,3,1,22-Nov,English,1,0,69.9,1,6.0,27.0,3.25,Sachin Kafle,181857.0,23,4.0,0,0.0,0.0,0,0,0,0,5.0
1568,Python code for Artificial Intelligence,https://www.udemy.com/course/python-code-for-artificial-intelligence/,713,3,1,18-Aug,English,1,1,69.9,1,7.0,28.0,3.3666666666666667,"Dr Aashish Dikshit, PHD(Founder of Lakshmish academy)",4586.0,16,2.8,0,0.0,0.0,0,0,0,0,3.2
1569,Applied Machine Learning With Python,https://www.udemy.com/course/applied-machine-learning-with-python/,7,3,1,22-Sep,English,1,0,69.9,1,4.0,17.0,3.4833333333333334,Sachida Kumar,156.0,6,4.6,0,0.0,0.0,0,0,0,0,5.0
1570,The Data Analyst Course: Complete Data Analyst Bootcamp 2023,https://www.udemy.com/course/the-data-analyst-course-complete-data-analyst-bootcamp-2023/,20,3,1,23-Jan,English,1,1,69.9,1,5.0,41.0,16.716666666666665,Akhil Vydyula,3813.0,11,4.1,0,0.0,0.0,0,0,0,0,3.0
1571,Hands-On Machine Learning with Python and Scikit-Learn,https://www.udemy.com/course/hands-on-machine-learning-with-python-and-scikit-learn/,32,3,1,18-Apr,English,1,1,69.9,1,5.0,25.0,2.65,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,2.8
1572,Deep Learning and NLP with Python: 2-in-1,https://www.udemy.com/course/deep-learning-and-nlp-with-python-2-in-1/,33,3,1,18-Apr,English,1,1,69.9,1,2.0,31.0,3.45,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,1,0,0,3.5
1573,Apache Spark Data Analytics Best Practices & Troubleshooting,https://www.udemy.com/course/apache-spark-data-analytics-best-practices-troubleshooting/,90,3,1,19-Apr,English,1,1,69.9,1,4.0,125.0,9.85,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,1,0,0,3.5
1574,The Ultimate Beginners Guide to Python Virtual Assistants,https://www.udemy.com/course/the-ultimate-beginners-guide-to-python-virtual-assistants/,192,4,3,23-Jan,English,1,1,69.9,1,3.0,22.0,2.716666666666667,Jones Granatyr,166599.0,91,4.7,1,4960.0,6.0,4.7,0,0,0,5.0
1575,Mastering ChatGPT in 2023 *WEEKLY UPDATES*,https://www.udemy.com/course/mastering-chatgpt-for-beginners-the-complete-course/,12,3,1,23-Jan,English,1,0,69.9,1,6.0,11.0,1.1333333333333333,Ikum Kandola,12.0,1,4.4,0,0.0,0.0,0,0,0,0,4.4
1576,Intro to Engagement Designer and Avaya One Cloud (CPaaS),https://www.udemy.com/course/artificial-intelligence-developer-with-avaya-zang/,41,3,1,21-Jul,English,1,1,69.9,1,14.0,14.0,0.95,Juan Sebastian Garcia,28656.0,48,3.9,0,0.0,0.0,0,0,0,0,3.2
1577,Machine Learning & Data Science Bootcamp with  R  & Python,https://www.udemy.com/course/machine-learning-data-science-bootcamp-with-r-python/,136,10,1,21-Jul,English,1,1,69.9,1,11.0,34.0,5.116666666666666,Academy of Computing & Artificial Intelligence,169427.0,19,4.0,0,0.0,0.0,0,0,0,0,4.7
1578,"Object detection only from ONE picture (OpenCV, python)",https://www.udemy.com/course/real-time-object-detection-project/,36,3,1,20-Oct,English,1,1,69.9,1,5.0,20.0,1.2666666666666666,Molnár Zoltán,36.0,1,4.8,0,0.0,0.0,0,0,0,0,4.8
1579,Learn Deep Reinforcement Learning Fast,https://www.udemy.com/course/fast-deep-reinforcement-learning/,8,3,1,22-Sep,English,1,1,209.9,0,4.0,30.0,2.4333333333333336,Dibya Chakravorty,8.0,1,3.6,0,0.0,0.0,0,1,0,0,3.6
1580,Natural Language Processing using Python,https://www.udemy.com/course/nlp-through-gofai/,11,3,2,21-Jul,English,1,0,69.9,1,1.0,16.0,4.533333333333333,"Prof Poornachandra Sarang, Ph.D.",2280.0,2,4.4,1,11.0,1.0,4.6,1,0,0,4.6
1581,Applied Deep Learning with Keras,https://www.udemy.com/course/applied-deep-learning-with-keras/,65,3,1,20-Jun,English,1,1,179.9,1,9.0,108.0,10.283333333333333,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,1,0,0,4.3
1582,Data Science: CNN & OpenCV : Chest XRAY-Pneumonia Detection,https://www.udemy.com/course/data-science-cnn-opencv-chest-xray-pneumonia-detection/,21,3,1,22-Feb,English,1,1,69.9,1,12.0,44.0,2.216666666666667,AutomationGig .,274.0,8,4.2,0,0.0,0.0,0,0,0,0,3.8
1583,Numpy - the complete guide,https://www.udemy.com/course/numpy-python-the-complete-guide/,13,3,1,22-Aug,English,1,1,69.9,1,6.0,19.0,1.0666666666666667,Anup Shukla,17094.0,5,4.2,0,0.0,0.0,0,1,0,0,4.8
1584,Mastering Python Data Visualization with Seaborn,https://www.udemy.com/course/mastering-python-data-visualization-with-seaborn/,3145,3,1,22-Jun,English,1,1,229.9,1,1.0,17.0,2.3333333333333335,EDUCBA Bridging the Gap,252741.0,152,4.0,0,0.0,0.0,0,0,0,0,5.0
1585,Natural Language Processing with Python,https://www.udemy.com/course/natural-language-processing-basics-to-advanced-course/,56,3,1,22-Dec,English,1,1,69.9,0,6.0,25.0,7.383333333333334,Rithesh Sreenivasan,56.0,1,4.4,0,0.0,0.0,0,1,0,0,4.4
1586,Building Big Data Pipelines with SparkR & PowerBI & MongoDB,https://www.udemy.com/course/building-big-data-pipelines-with-sparkr-powerbi-mongodb/,19,3,1,20-Jul,English,1,1,69.9,1,6.0,25.0,3.3666666666666667,EBISYS R&D,8581.0,15,4.1,0,0.0,0.0,0,0,0,0,4.2
1587,The Ultimate Python Machine Learning with TensorFlow Course,https://www.udemy.com/course/the-ultimate-python-machine-learning-with-tensorflow-course/,30,3,2,20-Apr,English,1,1,69.9,1,6.0,96.0,15.316666666666666,Mammoth Interactive,381800.0,263,4.3,1,520513.0,292.0,4.3,0,0,0,3.7
1588,Machine Learning: Generative Adversarial Networks (GANS),https://www.udemy.com/course/generative-adversarial-networks/,16,3,1,22-Aug,English,1,0,69.9,1,4.0,12.0,1.4833333333333334,Maxime Vandegar,1290.0,25,4.4,0,0.0,0.0,0,1,0,0,4.6
1589,LEARNING PATH: TensorFlow: Complete Solutions to TensorFlow,https://www.udemy.com/course/learning-path-tensorflow-complete-solutions-to-tensorflow/,77,3,1,18-Feb,English,1,1,69.9,1,3.0,56.0,4.833333333333333,Packt Publishing,410275.0,977,3.9,0,0.0,0.0,0,0,0,0,3.8
1590,ChatGPT Masterclass: Smart Tips & ChatGPT Insights & Future,https://www.udemy.com/course/chatgpt-masterclass-smart-tips-insights/,313,6,2,23-Feb,English,1,1,69.9,1,25.0,102.0,3.6,Peter Alkema,113079.0,111,4.4,1,24731.0,8.0,4.4,0,0,0,4.6
